"","x"
"345",0.110653322387377
"346",0.110653322387377
"347",0.110653322387377
"348",0.110653322387377
"349",0.110653322387377
"350",0.110653322387377
"351",0.110653322387377
"352",0.110653322387377
"353",0.110653322387377
"354",0.0409577496799911
"355",0.0409577496799911
"356",0.0409577496799911
"357",0.0409577496799911
"358",0.0409577496799911
"359",0.0409577496799911
"360",0.0409577496799911
"361",0.0246629041853368
"362",0.0246629041853368
"363",0.0246629041853368
"364",0.0246629041853368
"365",0.0246629041853368
"366",0.0246629041853368
"367",0.0246629041853368
"368",0.0246629041853368
"369",0.341965129572892
"370",0.341965129572892
"371",0.341965129572892
"372",0.341965129572892
"373",0.341965129572892
"374",0.341965129572892
"375",0.341965129572892
"376",0.341965129572892
"377",0.341965129572892
"378",0.341965129572892
"379",0.341965129572892
"380",0.341965129572892
"381",0.341965129572892
"382",0.341965129572892
"383",0.341965129572892
"384",0.341965129572892
"385",0.341965129572892
"386",0.341965129572892
"387",1.85863797623396
"388",1.85863797623396
"389",1.85863797623396
"390",1.85863797623396
"391",1.97079939926013
"392",1.97079939926013
"393",1.97079939926013
"394",1.97079939926013
"395",1.65376126573324
"396",1.65376126573324
"397",1.65376126573324
"398",1.65376126573324
"399",1.65376126573324
"400",1.65376126573324
"401",1.65376126573324
"402",1.83400089814841
"403",1.83400089814841
"404",1.83400089814841
"405",1.83400089814841
"406",1.83400089814841
"407",1.5568342357004
"408",1.56104789134578
"409",1.56104789134578
"410",1.54132640650832
"411",1.54132640650832
"412",1.54132640650832
"413",1.54132640650832
"414",1.54132640650832
"415",1.53129235217383
"416",1.53129235217383
"417",1.69528429641924
"418",1.69528429641924
"419",1.69528429641924
"420",1.76205166808376
"421",1.76205166808376
"422",1.76205166808376
"423",1.76205166808376
"424",1.73778479326565
"425",1.75242675497987
"426",1.75242675497987
"427",1.48830971557048
"428",1.48830971557048
"429",1.62391897964569
"430",1.62391897964569
"431",1.50624501863123
"432",1.75727364865025
"433",1.75727364865025
"434",1.75727364865025
"435",1.75727364865025
"436",1.45666864619
"437",1.45666864619
"438",1.45380417791886
"439",1.45380417791886
"440",1.45380417791886
"441",1.45380417791886
"442",1.45344420097021
"443",1.45344420097021
"444",1.45344420097021
"445",1.66842331115501
"446",1.66842331115501
"447",1.80188028281732
"448",1.80188028281732
"449",1.73324363716738
"450",1.73324363716738
"451",0.662780640650213
"452",0.662780640650213
"453",0.662780640650213
"454",0.662780640650213
"455",0.581600660134394
"456",0.581600660134394
"457",0.581600660134394
"458",1.41791287418092
"459",0.309655788566144
"460",0.175784035110667
"461",0.175784035110667
"462",0.175784035110667
"463",0.175784035110667
"464",0.20824549136401
"465",0.0674557022758841
"466",0.0674557022758841
"467",0.291428141713707
"468",0.291428141713707
"469",0.291428141713707
"470",0.291428141713707
"471",0.291428141713707
"472",0.291428141713707
"473",0.291428141713707
"474",0.291428141713707
"475",0.291428141713707
"476",0.291428141713707
"477",0.291428141713707
"478",0.291428141713707
"479",0.291428141713707
"480",0.291428141713707
"481",0.291428141713707
"482",0.291428141713707
"483",0.291428141713707
"484",0.291428141713707
"485",0.291428141713707
"486",0.291428141713707
"487",0.291428141713707
"488",0.291428141713707
"489",0.291428141713707
"490",0.291428141713707
"491",0.291428141713707
"492",0.291428141713707
"493",0.291428141713707
"494",0.291428141713707
"495",0.172551350467785
"496",0.172551350467785
"497",0.172551350467785
"498",0.172551350467785
"499",0.496585971803681
"500",0.496585971803681
"501",0.496585971803681
"502",0.281375247317348
"503",0.281375247317348
"504",0.281375247317348
"505",1.89275836450995
"506",1.55153575189951
"507",1.55153575189951
"508",0.199454947311536
"509",0.199454947311536
"510",0.199454947311536
"511",0.199454947311536
"512",0.199454947311536
"513",0.0644561823812715
"514",0.657554524471987
"515",0.657554524471987
"516",0.441426497813794
"517",0.441426497813794
"518",0.441426497813794
"519",0.441426497813794
"520",0.441426497813794
"521",0.441426497813794
"522",0.441426497813794
"523",1.43515749122635
"524",1.43515749122635
"525",1.43515749122635
"526",1.43515749122635
"527",1.88587322011554
"528",1.88587322011554
"529",1.88587322011554
"530",1.88587322011554
"531",0.174901293868661
"532",0.174901293868661
"533",0.174901293868661
"534",0.174901293868661
"535",0.174901293868661
"536",0.174901293868661
"537",0.174901293868661
"538",0.174901293868661
"539",0.491099621275892
"540",1.67701148512892
"541",1.67701148512892
"542",1.95140158968319
"543",1.95140158968319
"544",1.95140158968319
"545",1.95140158968319
"546",1.95140158968319
"547",1.95140158968319
"548",1.95140158968319
"549",1.95140158968319
"550",1.95140158968319
"551",1.95140158968319
"552",1.95140158968319
"553",1.95140158968319
"554",0.440478493572021
"555",0.440478493572021
"556",0.440478493572021
"557",0.440478493572021
"558",0.440478493572021
"559",0.440478493572021
"560",0.440478493572021
"561",1.82777726327432
"562",1.82777726327432
"563",1.82777726327432
"564",1.96092241318092
"565",1.8244265095856
"566",1.8244265095856
"567",1.99204843118844
"568",1.99204843118844
"569",1.99204843118844
"570",1.99204843118844
"571",1.88044178518397
"572",1.89443670489795
"573",1.89443670489795
"574",1.89443670489795
"575",1.89443670489795
"576",1.95783593151663
"577",1.95783593151663
"578",1.95783593151663
"579",1.95783593151663
"580",1.95783593151663
"581",1.95783593151663
"582",1.95783593151663
"583",1.67740157797265
"584",1.67740157797265
"585",1.67740157797265
"586",1.67740157797265
"587",1.67740157797265
"588",0.378066964938474
"589",0.223350232518005
"590",0.223350232518005
"591",0.223350232518005
"592",0.223350232518005
"593",0.223350232518005
"594",0.223350232518005
"595",0.223350232518005
"596",0.223350232518005
"597",0.223350232518005
"598",0.223350232518005
"599",0.223350232518005
"600",0.223350232518005
"601",0.223350232518005
"602",0.223350232518005
"603",0.223350232518005
"604",0.223350232518005
"605",0.223350232518005
"606",0.223350232518005
"607",0.223350232518005
"608",0.223350232518005
"609",0.223350232518005
"610",0.223350232518005
"611",0.223350232518005
"612",0.223350232518005
"613",0.223350232518005
"614",0.223350232518005
"615",0.223350232518005
"616",0.223350232518005
"617",0.223350232518005
"618",0.18870362310816
"619",0.18870362310816
"620",0.18870362310816
"621",0.18870362310816
"622",0.18870362310816
"623",0.362831858023434
"624",0.362831858023434
"625",0.362831858023434
"626",0.362831858023434
"627",0.362831858023434
"628",0.362831858023434
"629",0.362831858023434
"630",0.362831858023434
"631",0.362831858023434
"632",0.362831858023434
"633",0.362831858023434
"634",0.362831858023434
"635",0.362831858023434
"636",0.362831858023434
"637",0.362831858023434
"638",0.362831858023434
"639",0.362831858023434
"640",0.362831858023434
"641",0.362831858023434
"642",0.362831858023434
"643",0.362831858023434
"644",0.362831858023434
"645",0.362831858023434
"646",0.362831858023434
"647",0.362831858023434
"648",0.362831858023434
"649",0.362831858023434
"650",0.362831858023434
"651",0.362831858023434
"652",0.362831858023434
"653",0.362831858023434
"654",0.362831858023434
"655",0.362831858023434
"656",0.362831858023434
"657",0.362831858023434
"658",0.362831858023434
"659",0.362831858023434
"660",0.362831858023434
"661",0.362831858023434
"662",0.362831858023434
"663",0.362831858023434
"664",0.362831858023434
"665",0.362831858023434
"666",0.362831858023434
"667",0.362831858023434
"668",0.362831858023434
"669",0.362831858023434
"670",0.362831858023434
"671",0.362831858023434
"672",0.362831858023434
"673",0.362831858023434
"674",0.362831858023434
"675",0.362831858023434
"676",0.362831858023434
"677",0.362831858023434
"678",0.362831858023434
"679",0.362831858023434
"680",0.362831858023434
"681",0.362831858023434
"682",0.362831858023434
"683",0.362831858023434
"684",0.362831858023434
"685",0.362831858023434
"686",0.362831858023434
"687",0.362831858023434
"688",0.362831858023434
"689",0.362831858023434
"690",0.362831858023434
"691",0.362831858023434
"692",0.362831858023434
"693",0.362831858023434
"694",0.362831858023434
"695",0.362831858023434
"696",0.362831858023434
"697",0.362831858023434
"698",0.362831858023434
"699",0.362831858023434
"700",0.362831858023434
"701",0.362831858023434
"702",0.362831858023434
"703",0.362831858023434
"704",0.362831858023434
"705",0.362831858023434
"706",0.362831858023434
"707",0.362831858023434
"708",0.362831858023434
"709",0.362831858023434
"710",0.362831858023434
"711",0.362831858023434
"712",0.362831858023434
"713",0.362831858023434
"714",0.362831858023434
"715",0.362831858023434
"716",0.362831858023434
"717",0.362831858023434
"718",0.362831858023434
"719",0.362831858023434
"720",0.362831858023434
"721",0.362831858023434
