Obs,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
CHE97101608,-33.9915,19.73766667,1.82,38.84,427.15,0.1,0.43,4.03
SMR97091104,-34.086,19.28833333,1.57,36.73,458.79,0.16,0.45,3.73
CHE97100101,-33.34366667,19.52366667,0.23,36.51,527.34,0.21,0.47,3.48
LYM97112911,-34.468,19.63766667,6.87,29.51,363.87,0.14,0.41,3.67
LYM97112915,-34.49283333,19.69833333,5.49,30.49,374.41,0.13,0.4,4.09
DOA97111722,-33.35,22.3935,0.52,38.33,406.05,0.07,0.43,3.51
DOA97111725,-33.363,22.45383333,0.52,38.33,406.05,0.07,0.43,3.51
DOA97111726,-33.363,22.46083333,0.52,38.33,406.05,0.07,0.43,3.51
DOA97111923,-33.6675,23.08283333,-0.79,38.52,516.8,0.11,0.48,3.55
PMR97121401,-34.09316667,20.0355,1.82,38.84,427.15,0.1,0.43,4.03
LYM98022812,-34.40983333,20.58183333,8.98,29.13,237.3,0.02,0.37,4.33
CHE98030501,-34.3,19.41766667,6.87,29.51,363.87,0.14,0.41,3.67
DJL98030501,-34.30266667,19.41933333,6.87,29.51,363.87,0.14,0.41,3.67
LYM98032502,-33.34916667,19.1075,0.23,36.51,527.34,0.21,0.47,3.48
DJL98040502,-33.87116667,21.934,4.23,35.73,305.86,0.03,0.41,4.22
VCH98040303,-33.85683333,22.2435,7.26,30.83,348.05,0.08,0.43,2.07
VCH98040404,-33.82883333,22.16283333,4.23,35.73,305.86,0.03,0.41,4.22
VCH98052101,-33.82183333,18.99616667,6.06,33.55,506.25,0.19,0.45,3.49
ROO98021801,-33.368,21.36566667,0.3,39.56,374.41,0.05,0.41,4.09
OBR98021802,-33.37566667,21.36083333,0.3,39.56,374.41,0.05,0.41,4.09
DJL98072901,-34.39466667,19.68033333,6.87,29.51,363.87,0.14,0.41,3.67
LYM98081906,-33.87483333,18.89716667,6.06,33.55,506.25,0.19,0.45,3.49
SMR98090401,-34.20366667,19.5915,1.57,36.73,458.79,0.16,0.45,3.73
LYM98100206,-33.00483333,19.0615,2.38,39.8,500.98,0.19,0.41,3.66
AWA98091306,-32.62883333,19.19566667,-0.63,37.38,474.61,0.11,0.48,3.89
SMR98100702,-34.08066667,23.22733333,6.64,31.46,369.14,0.1,0.43,1.43
VCH98091806,-33.531,18.483,3.84,37.94,516.8,0.22,0.42,3.4
IVM98102103,-34.27116667,19.1215,6.87,29.51,363.87,0.14,0.41,3.67
NGF98102104,-34.26216667,19.1285,6.87,29.51,363.87,0.14,0.41,3.67
VCH98102302,-33.4325,21.4075,0.3,39.56,374.41,0.05,0.41,4.09
IVM98102901,-33.79633333,22.45483333,7.26,30.83,348.05,0.08,0.43,2.07
IVM98103001,-33.76366667,22.7855,7.26,30.83,348.05,0.08,0.43,2.07
DJL98112506,-34.0365,19.94083333,1.82,38.84,427.15,0.1,0.43,4.03
NGF98120604,-32.37566667,18.82683333,1.84,38.63,379.69,0.15,0.41,3.65
