"Obs","latitude","longitude","july_min","jan_max","prec","evap","soil","wind"
"DOA93030404",-33.3733333333333,22.0258333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA93030906",-33.4076666666667,22.4166666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93030907",-33.4038333333333,22.4125,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93030908",-33.4008333333333,22.4118333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93030909",-33.3986666666667,22.4136666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93030910",-33.3981666666667,22.4133333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93030911",-33.4005,22.4166666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93030912",-33.4023333333333,22.4238333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93031703",-33.3391666666667,22.1461666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA93033001",-33.4193333333333,22.6886666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93042202",-33.6881666666667,21.4505,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93042801",-33.3918333333333,21.4391666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93042803",-33.386,21.4548333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93042805",-33.3826666666667,21.455,0.3,39.56,374.41,0.05,0.41,4.09
"JAT93050101",-32.4378333333333,19.2241666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"JAT93050104",-32.4095,19.1876666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"WIJ93050104",-33.415,19.5308333333333,0.23,36.51,527.34,0.21,0.47,3.48
"WIJ93050105",-33.4183333333333,19.5341666666667,0.23,36.51,527.34,0.21,0.47,3.48
"AMA93060802",-33.509,20.6431666666667,0.23,37.73,300.59,0.03,0.43,4.14
"AMA93060803",-33.5081666666667,20.6265,0.23,37.73,300.59,0.03,0.43,4.14
"DJF93051502",-32.4036666666667,19.1806666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"DJF93051503",-32.3991666666667,19.1653333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"DJF93051601",-32.4158333333333,19.195,-0.63,37.38,474.61,0.11,0.48,3.89
"DJF93051602",-32.4126666666667,19.2026666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"WIJ93052403",-33.385,21.4533333333333,0.3,39.56,374.41,0.05,0.41,4.09
"WIJ93052404",-33.3933333333333,21.4483333333333,0.3,39.56,374.41,0.05,0.41,4.09
"WIJ93052405",-33.3916666666667,21.4666666666667,0.3,39.56,374.41,0.05,0.41,4.09
"WIJ93052406",-33.3883333333333,21.485,0.3,39.56,374.41,0.05,0.41,4.09
"AKS93061201",-33.377,19.2263333333333,0.23,36.51,527.34,0.21,0.47,3.48
"AKS93061202",-33.378,19.2295,0.23,36.51,527.34,0.21,0.47,3.48
"AMA93061704",-33.3206666666667,20.6891666666667,0.23,37.73,300.59,0.03,0.43,4.14
"WMP92123103",-32.3013333333333,19.1188333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"WMP93011604",-33.7135,19.8811666666667,-1.1,36.98,622.27,0.15,0.55,3.74
"WMP93011605",-33.7153333333333,19.8801666666667,-1.1,36.98,622.27,0.15,0.55,3.74
"WMP93011606",-33.7193333333333,19.8843333333333,-1.1,36.98,622.27,0.15,0.55,3.74
"WIJ93061205",-32.895,19.2066666666667,-1.39,35.69,564.26,0.2,0.49,3.73
"WIJ93061305",-32.8466666666667,19.185,-1.39,35.69,564.26,0.2,0.49,3.73
"DEB93071802",-32.2256666666667,19.0618333333333,2.19,39.13,290.04,0.09,0.37,3.78
"DEB93071803",-32.2248333333333,19.0623333333333,2.19,39.13,290.04,0.09,0.37,3.78
"DOA93063001",-33.3986666666667,21.4301666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93063002",-33.4,21.4311666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93063003",-33.4013333333333,21.4483333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93063004",-33.4031666666667,21.4543333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93063008",-33.3946666666667,21.4441666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93071901",-33.428,21.3731666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93071904",-33.4166666666667,21.3693333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93072401",-33.5068333333333,20.6736666666667,0.23,37.73,300.59,0.03,0.43,4.14
"DOA93072404",-33.5025,20.6968333333333,0.23,37.73,300.59,0.03,0.43,4.14
"DOA93072410",-33.4986666666667,20.722,0.23,37.73,300.59,0.03,0.43,4.14
"OUT93071102",-33.3436666666667,22.1811666666667,0.71,40,390.23,0.05,0.45,3.94
"NGW93030201",-32.423,19.227,-0.63,37.38,474.61,0.11,0.48,3.89
"NGW93030202",-32.423,19.2236666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"SHR93073101",-33.7185,19.88,-1.1,36.98,622.27,0.15,0.55,3.74
"DOA93080505",-33.6328333333333,21.4231666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93080508",-33.6461666666667,21.4908333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93080509",-33.6613333333333,21.5038333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93080510",-33.6626666666667,21.5236666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93080513",-33.6901666666667,21.4548333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081704",-33.423,21.5033333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081705",-33.4198333333333,21.5033333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081706",-33.4158333333333,21.5011666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081707",-33.4135,21.5031666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081710",-33.419,21.4956666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081711",-33.4198333333333,21.4958333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93081712",-33.4243333333333,21.4998333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93082409",-33.4351666666667,21.2021666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93090104",-33.65,21.442,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93090105",-33.6536666666667,21.4311666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93090111",-33.6406666666667,21.499,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93090202",-33.6616666666667,21.5038333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93090302",-33.4351666666667,21.291,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100501",-33.5585,20.9688333333333,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100504",-33.5595,20.9661666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100506",-33.5603333333333,20.9656666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100507",-33.5618333333333,20.9656666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100604",-33.558,20.985,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100610",-33.5616666666667,21.0053333333333,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100611",-33.5658333333333,21.0033333333333,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100616",-33.5658333333333,21.0238333333333,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100617",-33.5666666666667,21.0215,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100618",-33.5661666666667,21.0156666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100620",-33.5648333333333,21.0076666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100621",-33.5616666666667,20.9946666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100622",-33.5616666666667,20.9888333333333,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100623",-33.5616666666667,20.985,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100624",-33.5613333333333,20.9801666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100625",-33.5603333333333,20.9736666666667,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100701",-33.5626666666667,20.9733333333333,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100702",-33.5635,20.979,0.3,39.56,374.41,0.05,0.41,4.09
"ASP93100703",-33.563,20.985,0.3,39.56,374.41,0.05,0.41,4.09
"OUT93100204",-33.3416666666667,22.1066666666667,0.71,40,390.23,0.05,0.45,3.94
"OUT93100205",-33.335,22.1341666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA93100601",-33.6685,21.5391666666667,0.3,39.56,374.41,0.05,0.41,4.09
"EGH93100702",-33.3971666666667,21.437,0.3,39.56,374.41,0.05,0.41,4.09
"APE93110705",-32.6505,19.2928333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"APE93110706",-32.6523333333333,19.2946666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"APE93110707",-32.652,19.3,-0.63,37.38,474.61,0.11,0.48,3.89
"APE93110708",-32.6491666666667,19.301,-0.63,37.38,474.61,0.11,0.48,3.89
"PNB93103102",-32.4095,19.1871666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"PNB93103103",-32.4121666666667,19.1956666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"DOA93101204",-33.441,21.265,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101702",-33.332,21.2946666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101703",-33.331,21.2956666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101704",-33.3315,21.3038333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101708",-33.3265,21.2758333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101709",-33.3265,21.2705,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101710",-33.3243333333333,21.265,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101711",-33.3113333333333,21.2768333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101713",-33.3185,21.2758333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93101714",-33.3203333333333,21.2768333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110101",-33.3838333333333,21.4548333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110102",-33.381,21.458,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110103",-33.3808333333333,21.4623333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110201",-33.632,21.4198333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110202",-33.633,21.414,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110207",-33.641,21.4885,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110208",-33.6386666666667,21.4883333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110301",-33.6598333333333,21.5021666666667,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93110302",-33.6608333333333,21.5025,0.3,39.56,374.41,0.05,0.41,4.09
"SDP93111401",-32.125,19.0266666666667,2.19,39.13,290.04,0.09,0.37,3.78
"WIJ93111302",-33.4616666666667,19.4583333333333,0.23,36.51,527.34,0.21,0.47,3.48
"WIJ93111303",-33.4633333333333,19.45,0.23,36.51,527.34,0.21,0.47,3.48
"DOA93111702",-33.3743333333333,21.415,0.3,39.56,374.41,0.05,0.41,4.09
"DOA93111703",-33.373,21.4215,0.3,39.56,374.41,0.05,0.41,4.09
"OUT93111308",-33.6783333333333,21.6505,0.71,40,390.23,0.05,0.45,3.94
"OUT93111301",-33.6458333333333,22.9566666666667,-0.79,38.52,516.8,0.11,0.48,3.55
"OUT93111303",-33.626,22.9526666666667,-0.79,38.52,516.8,0.11,0.48,3.55
"OUT93111304",-33.625,22.9426666666667,-0.79,38.52,516.8,0.11,0.48,3.55
