obs,V1,V2,V3,V4,V5,V6,V7
55,-9.158486431,-4.110426135,-3.102095629,4.568940408,4.867984097,-13.84591834,6.598338695
56,2.162725916,0.239937117,-0.085598899,-0.521836974,-0.115442915,0.676270517,-0.946830931
57,2.377001931,0.322888915,-0.02723234,-0.633619299,-0.190255503,0.776150366,-1.388901543
58,3.661983105,0.295981828,-0.07890404,-0.421468257,-0.408138193,0.910763698,-1.527159522
59,4.367209778,-1.088053967,-1.522479904,1.265904122,0.597155409,-3.47281281,-0.947114452
60,1.196877325,-0.163599391,-0.529897355,3.261745688,-0.271979471,-3.711678785,0.52326688
61,0.711302102,1.173476352,-3.605853946,11.56403627,-1.299001296,-7.34630675,0.395894065
62,7.572217448,0.438557031,-0.566238952,0.831783535,-0.562368678,-0.970281488,0.002311376
63,21.54437977,1.178825506,0.581046719,-2.191414808,-0.807020754,-0.084873495,0.682758919
64,1.268252637,0.311884183,0.019504788,-0.17090343,0.716207749,-0.199481001,-0.391763918
65,2.19028156,-0.051372133,-0.303796299,-0.003792979,-0.061462589,-0.279176047,-0.17745546
66,1.836934892,0.051500914,-0.071763931,-0.005049787,-0.242865803,-0.035942693,-0.069419277
67,5.180612823,0.31868493,0.248631669,-0.049652614,0.131543541,-0.137518586,-0.103537334
68,3.078488889,0.141211103,-0.074876899,0.633018432,0.018634139,-0.583818937,0.046358799
69,3.468871031,-0.032707206,0.011368545,-0.152161461,0.510165256,-0.115649863,0.115249947
70,2.940788861,0.139242042,-0.24470147,0.545122543,-0.257874141,-0.721411933,-0.086688148
71,1.464688926,0.003195038,-0.145731635,0.135946038,0.059549534,-0.3939241,-0.008429476
72,1.580965654,0.000850443,-0.009565497,0.352835986,-0.14650355,-0.344258099,0.023937165
73,2.683777469,0.136709156,0.095667363,3.574057262,-1.012612309,-1.984408265,3.089677237
74,6.694422727,-3.332574953,-4.380835592,-5.867652662,6.079398562,-3.122694513,4.9029768
75,1.63460122,-3.480099968,-5.827878142,-9.050045782,8.658167181,-2.531900555,5.86552495
76,1.077086016,-1.359359344,-2.156692603,-3.67843451,3.029870415,-0.69617162,1.107006698
77,1.304235075,-1.182216597,-1.926876528,-0.702646931,1.681017761,-1.86143008,1.499328971
78,0.333175111,-0.382079119,-0.781249906,0.521025319,0.50804381,-1.499327324,1.477732335
79,0.753908759,-1.712318876,-2.782855206,-3.652050119,3.144274988,-1.415456636,1.273895475
80,6.810117734,4.518428264,6.233312094,0.015343915,-2.36395217,12.82214912,0.107570781
81,5.171689972,1.521638221,2.046522652,-2.154371859,0.390360189,5.80051738,0.79201875
82,-11.53009598,-14.00638756,-16.05277198,-4.904462624,12.66022073,-31.04283378,-4.818712147
83,-2.271553127,-5.647531538,-6.528772817,-0.250711409,5.746156713,-14.03546642,0.792885057
84,-12.09632265,-20.84800682,-24.19639889,-8.855184667,22.40348987,-45.58228369,-2.522293203
85,-3.91136423,-4.202992987,-4.903685556,0.198415773,4.346588954,-10.79865498,0.420470569
