OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
NOG93052303,PRMUND,33.69216667,-33.69216667,24.96933333,42.57,2.58,511.52,0.16,0.41,3.06
DOA93121203,PRMUND,33.96166667,-33.96166667,24.26983333,35.12,6.64,427.15,0.16,0.44,2.84
DOA93121204,PRMUND,33.96083333,-33.96083333,24.26883333,35.12,6.64,427.15,0.16,0.44,2.84
DOA93121205,PRMUND,33.97383333,-33.97383333,24.25383333,35.12,6.64,427.15,0.16,0.44,2.84
HRK94040201,PRMUND,33.90133333,-33.90133333,23.65883333,29.69,8.42,390.23,0.17,0.44,2.8
HRK94040202,PRMUND,33.90266667,-33.90266667,23.66233333,29.69,8.42,390.23,0.17,0.44,2.8
GYC94052601,PRMUND,34.05183333,-34.05183333,18.87583333,33.55,6.06,506.25,0.19,0.45,3.49
GYC94052602,PRMUND,34.05,-34.05,18.87583333,33.55,6.06,506.25,0.19,0.45,3.49
GYC94052603,PRMUND,34.05,-34.05,18.87466667,33.55,6.06,506.25,0.19,0.45,3.49
GYC94070803,PRMUND,34.04916667,-34.04916667,18.86933333,33.55,6.06,506.25,0.19,0.45,3.49
GYC94070804,PRMUND,34.05083333,-34.05083333,18.86833333,33.55,6.06,506.25,0.19,0.45,3.49
GYC94070809,PRMUND,34.05683333,-34.05683333,18.871,33.55,6.06,506.25,0.19,0.45,3.49
APE94082003,PRMUND,33.86166667,-33.86166667,25.1865,34.44,8.8,421.88,0.15,0.43,2.87
APE94082004,PRMUND,33.855,-33.855,25.185,34.44,8.8,421.88,0.15,0.43,2.87
APE94082011,PRMUND,33.7815,-33.7815,25.08,34.44,8.8,421.88,0.15,0.43,2.87
APE94082102,PRMUND,33.88883333,-33.88883333,25.26766667,34.44,8.8,421.88,0.15,0.43,2.87
APE94082103,PRMUND,33.89016667,-33.89016667,25.2715,34.44,8.8,421.88,0.15,0.43,2.87
APE94082104,PRMUND,33.89183333,-33.89183333,25.26883333,34.44,8.8,421.88,0.15,0.43,2.87
APE94082105,PRMUND,33.8915,-33.8915,25.26416667,34.44,8.8,421.88,0.15,0.43,2.87
APE94082106,PRMUND,33.89183333,-33.89183333,25.25983333,34.44,8.8,421.88,0.15,0.43,2.87
APE94082107,PRMUND,33.89233333,-33.89233333,25.256,34.44,8.8,421.88,0.15,0.43,2.87
APE94082108,PRMUND,33.8905,-33.8905,25.258,34.44,8.8,421.88,0.15,0.43,2.87
APE94082110,PRMUND,33.88733333,-33.88733333,25.25983333,34.44,8.8,421.88,0.15,0.43,2.87
APE94082111,PRMUND,33.88833333,-33.88833333,25.2635,34.44,8.8,421.88,0.15,0.43,2.87
APE94080701,PRMUND,34.01216667,-34.01216667,18.4,25.9,11.12,374.41,0.22,0.34,3.64
PAP94092906,PRMUND,34.3265,-34.3265,19.00366667,24.48,10.17,474.61,0.22,0.42,3.61
OUT94100101,PRMUND,33.94333333,-33.94333333,22.593,30.83,7.26,348.05,0.08,0.43,2.07
OUT94101502,PRMUND,33.84316667,-33.84316667,22.66283333,30.83,7.26,348.05,0.08,0.43,2.07
OUT94101503,PRMUND,33.84333333,-33.84333333,22.66016667,30.83,7.26,348.05,0.08,0.43,2.07
OUT94101504,PRMUND,33.8405,-33.8405,22.6565,30.83,7.26,348.05,0.08,0.43,2.07
OUT94101507,PRMUND,33.845,-33.845,22.64516667,30.83,7.26,348.05,0.08,0.43,2.07
OUT94101508,PRMUND,33.848,-33.848,22.64966667,30.83,7.26,348.05,0.08,0.43,2.07
WIJ94111901,PRMUND,34.19166667,-34.19166667,18.99,33.55,6.06,506.25,0.19,0.45,3.49
AKS94111206,PRMUND,33.89166667,-33.89166667,23.16616667,31.46,6.64,369.14,0.1,0.43,1.43
IAN94021701,PRMUND,34.0885,-34.0885,19.12633333,36.73,1.57,458.79,0.16,0.45,3.73
